id,text
0,I went here tonight to get some food with my friend and from the time I pulled up to order my food and get my food it was already a terrible...
1,Two lousy buckets of chicken in two months. We used to love KFC but this specific restaurant has killed our taste for KFC. The last 12 piece bucket we...
2,"On several occasions I've come maybe an hour or so before close (9:45-9:50 and they ""supposedly"" close at 11 pm) and they're ALWAYS ""out"" of everything..."
3,"Rude and ghetto , you will be talking to 2 different ppl at the driver thru every time and will short you on your order."
4,"Would leave a once star review if i could. I ordered the $30 fill up. once I got home (7 miles away), I discovered they had not included the chicken strip..."
5,I ordered online and set it to be delivered. I waited 29 minutes after it was supposed to be delivered before going up to the restaurant and grabbing the...
6,"I should have read the reviews before walked in the door. Coming from out of state, I thought all KFCs had a standard... boy was I mistaken. For starters..."
7,Was it everyone's first day?! Jesus! And by everyone I mean all 3 employees. Waited 30 minutes for food and it was not even right. These people need to...
8,Terrible service. Just took 37 minutes to get our food after all we got was a sorry it'll be 5 more minutes. Manager refused to give money back. Shiniqua...
9,"Usually the service is pretty good here. However, the last several times I have visited this location, there is either a long wait time, or they get my..."
10,I went through drive thru and didn't have high expectations. We ordered off the combined Taco Bell and KFC menu and had to be pulled up. My chicken...
11,"Covid-19 Score = F No mask. No gloves. Doesnt seem to be aware of a pandemic. Told me to pick my order up at the window, then when I get to the window..."
12,This place never has what you want to ask for I feed the SU to pull up they do not have any vegetarian or vegan options at this location they are very rude...
13,Fire everyone from the cashier to the cooks. Feel free to keep the janitor. Serving me old chicken. The nerve.
14,"Tyler was scooping our potatoes with his bare hands and licking his fingers when he slopped the potatoes on his hands. After he licked his fingers, he..."
15,"Wow I doubted the five ""one"" star reviews Now I see why lol. I was forced to go here because of hunger and proximity to where I was. This picture that I..."
16,I only go here when desperate. I was desperate on a recent major holiday & they were giving 1 hour wait times on chicken & the general manager was cooking....
17,A pure example of what it should not be. The drive-thru is broken. The floors are nasty. The place could truly use an upgrade. They have no sweet tea....
18,Covid-19 response review. Very poor. Came to pick up order and workers in the kitchen had no PPE. Very unsanitary. There was also no enforcement of social...
19,I honestly haven't reviewed anything before but the chicken was so bad I had to! I picked up the chicken at this Decatur location on my way back to...
20,I don't know what's going on with KFC's. None of the KFC's in DeKalb County ever has wings. They force you to buy chicken that you do not want what is the...
21,"This specific KFC is a merged restaurant with Taco Bell, so you would think it would be a good stop for groups right? Wrong. There were about 20 people in..."
22,"States to be open to 12a. FALSE. Also every item we tried to order they did not have. We ordered the skittles freeze and were told "" we don't recommend it"""
23,Food is pretty good but all the females rude as hell especially maryam the small indian girl at the drive thru window
24,The manager is very unprofessional and her customer service is terrible. I placed an order online due to Covid-19 that wasn't ready when I went to pick it...
25,"This is down right scary. If you find a whole glove inside your chicken sandwich then you have to know they really don't give a care about your health, or..."
26,This location is shit!!! Drive thru don't care what they give you!! Charge me for something I did not order!! Not the first time every time I go here it is...
27,TWICE in a row the taco salad shell has been at the point of being rancid. One would think this restaurant (KRC and Taco Bell) could use FRESH shells for...
28,"Employees are in the back fighting and arguing with each other, the girl at the register trying to ask them to change their behavior, larger young lady with..."
29,"Let's be honest, a fast food restaurant really doesn't have to do much to be acceptable. I set the bar so low for them, that unless its an egregious..."
